$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link
43C575,ZZ145,,AIRBUS HELICOPTERS EC-145,EC45,Mil,tar1090-db import,,,,
43C576,ZZ147,,AIRBUS HELICOPTERS EC-145,EC45,Mil,tar1090-db import,,,,
43C577,ZZ147,,AIRBUS HELICOPTERS EC-145,EC45,Mil,tar1090-db import,,,,
43C578,ZZ148,,AIRBUS HELICOPTERS EC-145,EC45,Mil,tar1090-db import,,,,
43C579,ZZ149,,AIRBUS HELICOPTERS EC-145,EC45,Mil,tar1090-db import,,,,
43C57A,ZZ150,,AIRBUS HELICOPTERS EC-145,EC45,Mil,tar1090-db import,,,,
43C61E,ZZ505,,Beech Shadow R2,B350,Mil,tar1090-db import,,,,
43C644,ZK309,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
43C6A9,ZK380,,EUFI,EUFI,Mil,tar1090-db import,,,,
43C6CF,ZK317,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
43C6D2,ZK381,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
43C70E,ZK383,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
43C729,ZJ252,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
43C73B,ZK355,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
43C742,ZK380,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
43C744,ZJ948,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
43C7DB,ZZ100,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C7E2,ZZ107,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C7E4,ZZ109,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C7E5,ZZ110,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C7E6,ZZ111,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C7E7,ZZ112,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C7E8,ZZ113,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C7E9,ZZ114,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C7EA,ZZ115,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C81E,ZM148,,LOCKHEED MARTIN F-35 Lightning 2,F35,Mil,tar1090-db import,,,,
43C90A,ZZ506,,B350,B350,Mil,tar1090-db import,,,,
43C90F,ZK067,,BELL 212,B212,Mil,tar1090-db import,,,,
43C926,ZR285,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C927,ZR286,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
43C92E,ZM700,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C92F,ZM701,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C930,ZM702,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C931,ZM703,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C934,ZM706,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C935,ZM707,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C936,ZM708,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C938,ZM710,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C939,ZM711,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C93B,ZM713,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C93D,ZM715,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C93E,ZM716,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C93F,ZM717,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C940,ZM718,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C941,ZM719,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C943,ZM721,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C944,ZM722,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C945,ZM723,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C946,ZM724,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C947,ZM725,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C948,ZM726,,Boeing AH-64E Apache,H64,Mil,tar1090-db import,,,,
43C949,ZM727,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C94A,ZM728,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C94B,ZM729,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C94C,ZM730,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C94D,ZM731,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C94E,ZM732,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C94F,ZM733,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C950,ZM734,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C951,ZM735,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C953,ZM737,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C954,ZM738,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C955,ZM739,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C956,ZM740,,H64,H64,Mil,tar1090-db import,,,,
43C957,ZM741,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C958,ZM742,,H64,H64,Mil,tar1090-db import,,,,
43C959,ZM743,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C95B,ZM745,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C95C,ZM746,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C95D,ZM747,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C95E,ZM748,,MCDONNELL DOUGLAS AH-64 Apache,H64,Mil,tar1090-db import,,,,
43C974,PR012,,Q9,Q9,Mil,tar1090-db import,,,,
43C975,PR013,,Q9,Q9,Mil,tar1090-db import,,,,
43C976,PR014,,Q9,Q9,Mil,tar1090-db import,,,,
43C9DD,LH110,,EH10,EH10,Mil,tar1090-db import,,,,
43C9F3,ZJ786,,AEROSPATIALE AS-365 Dauphin 2,AS65,Mil,tar1090-db import,,,,
43CB58,ZZ511,,AGUSTAWESTLAND AW-159 Super Lynx,LYNX,Mil,tar1090-db import,,,,
447D0B,7L-WI,,EUFI,EUFI,Mil,tar1090-db import,,,,
447D11,7L-WO,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
447D17,3H-FC,,PILATUS PC-7 Astra,PC7,Mil,tar1090-db import,,,,
447D18,3H-FD,,PILATUS PC-7 Astra,PC7,Mil,tar1090-db import,,,,
447D19,3H-FE,,PILATUS PC-7 Astra,PC7,Mil,tar1090-db import,,,,
447D1B,3H-FG,,PILATUS PC-7 Astra,PC7,Mil,tar1090-db import,,,,
447D1D,3H-FJ,,PILATUS PC-7 Astra,PC7,Mil,tar1090-db import,,,,
447D21,6M-BA,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
447D22,6M-BB,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
447D23,6M-BC,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
447D24,6M-BD,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
447D25,6M-BE,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
447D29,6M-BI,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
447D2C,5D-HB,,BELL 212,B212,Mil,tar1090-db import,,,,
447D2D,5D-HF,,B212,B212,Mil,tar1090-db import,,,,
447D2E,5D-HD,,BELL 212,B212,Mil,tar1090-db import,,,,
447D2F,5D-HF,,BELL 212,B212,Mil,tar1090-db import,,,,
447D31,5D-HH,,BELL 212,B212,Mil,tar1090-db import,,,,
447D33,5D-HJ,,BELL 212,B212,Mil,tar1090-db import,,,,
447D34,5D-HK,,BELL 212,B212,Mil,tar1090-db import,,,,
447D35,5D-HO,,B212,B212,Mil,tar1090-db import,,,,
447D36,5D-HN,,BELL 212,B212,Mil,tar1090-db import,,,,
447D39,5D-HS,,B212,B212,Mil,tar1090-db import,,,,
447D3A,5D-HR,,BELL 212,B212,Mil,tar1090-db import,,,,
447D3C,5D-HT,,BELL 212,B212,Mil,tar1090-db import,,,,
447D3D,5D-HU,,BELL 212,B212,Mil,tar1090-db import,,,,
447D42,3H-DA,,DIAMOND DA-40 Club Star,DA40,Mil,tar1090-db import,,,,
447D44,3H-DC,,DIAMOND DA-40 Club Star,DA40,Mil,tar1090-db import,,,,
447D45,3H-DD,,DIAMOND DA-40 Club Star,DA40,Mil,tar1090-db import,,,,
447D4E,3C-OK,,BELL 206 JetRanger,B06,Mil,tar1090-db import,,,,
447D62,3G-EB,,PC6T,PC6T,Mil,tar1090-db import,,,,
447D63,3G-ED,,PILATUS PC-6 Turbo-Porter,PC6T,Mil,tar1090-db import,,,,
447D64,3G-EE,,PILATUS PC-6 Turbo-Porter,PC6T,Mil,tar1090-db import,,,,
447D65,3G-EF,,PC6T,PC6T,Mil,tar1090-db import,,,,
447D66,3G-EG,,PC6T,PC6T,Mil,tar1090-db import,,,,
447D67,3G-EH,,PC6T,PC6T,Mil,tar1090-db import,,,,
447D68,3G-EK,,PILATUS PC-6 Turbo-Porter,PC6T,Mil,tar1090-db import,,,,
447D69,3G-EN,,PILATUS PC-6 Turbo-Porter,PC6T,Mil,tar1090-db import,,,,
44ED81,M-1,,AEROSPATIALE Alouette 3,ALO3,Mil,tar1090-db import,,,,
44ED82,M-2,,AEROSPATIALE Alouette 3,ALO3,Mil,tar1090-db import,,,,
44ED83,M-3,,AEROSPATIALE Alouette 3,ALO3,Mil,tar1090-db import,,,,
44F043,FB-23,,GENERAL DYNAMICS F-16 Fighting Falcon,F16,Mil,tar1090-db import,,,,
44F0E1,FA-71,,GENERAL DYNAMICS F-16 Fighting Falcon,F16,Mil,tar1090-db import,,,,
44F121,FA-91,,GENERAL DYNAMICS F-16 Fighting Falcon,F16,Mil,tar1090-db import,,,,
44F124,FA-94,,GENERAL DYNAMICS F-16 Fighting Falcon,F16,Mil,tar1090-db import,,,,
44F5A1,CM-01,,DASSAULT Falcon 200,FA20,Mil,tar1090-db import,,,,
44F601,LB-01,,PIPER PA-18 Super Cub,PA18,Mil,tar1090-db import,,,,
44F602,LB-02,,PIPER PA-18 Super Cub,PA18,Mil,tar1090-db import,,,,
44F636,H-22,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
44F641,H-27,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
44F642,H-28,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
44F644,H-30,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
44F64E,H-40,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
44F650,H-42,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
44F662,ST-04,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F663,ST-06,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F665,ST-15,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F66A,ST-20,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F671,ST-30,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F673,ST-32,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F674,ST-34,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F67A,ST-43,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F67B,ST-44,,AERMACCHI SF-260,F260,Mil,tar1090-db import,,,,
44F820,AT-10,,DASSAULT-DORNIER Alpha Jet,AJET,Mil,tar1090-db import,,,,
44F829,AT-19,,DASSAULT-DORNIER Alpha Jet,AJET,Mil,tar1090-db import,,,,
45104C,N-277,,NH90,NH90,Mil,tar1090-db import,,,,
457C01,020,,PILATUS PC-12,PC12,Mil,tar1090-db import,,,,
457C02,663,,PC9,PC9,Mil,tar1090-db import,,,,
457C06,667,,PC9,PC9,Mil,tar1090-db import,,,,
457C07,668,,PC9,PC9,Mil,tar1090-db import,,,,
457C08,701,,AEROSPATIALE AS-332 Super Puma,AS32,Mil,tar1090-db import,,,,
457C09,702,,AEROSPATIALE AS-332 Super Puma,AS32,Mil,tar1090-db import,,,,
457C0B,07,,AN26,AN26,Mil,tar1090-db import,,,,
457C0F,704,,AEROSPATIALE AS-332 Super Puma,AS32,Mil,tar1090-db import,,,,
457C15,708,,AEROSPATIALE AS-332 Super Puma,AS32,Mil,tar1090-db import,,,,
457C16,709,,AEROSPATIALE AS-332 Super Puma,AS32,Mil,tar1090-db import,,,,
457C17,710,,AEROSPATIALE AS-332 Super Puma,AS32,Mil,tar1090-db import,,,,
457C18,711,,AEROSPATIALE AS-332 Super Puma,AS32,Mil,tar1090-db import,,,,
457C20,068,,LET L-410 Turbolet,L410,Mil,tar1090-db import,,,,
457C21,069,,LET L-410 Turbolet,L410,Mil,tar1090-db import,,,,
457C30,207,,LET L-39 Albatros,L39,Mil,tar1090-db import,,,,
457C31,213,,LET L-39 Albatros,L39,Mil,tar1090-db import,,,,
457C32,139,,LET L-39 Albatros,L39,Mil,tar1090-db import,,,,
457C33,211,,LET L-39 Albatros,L39,Mil,tar1090-db import,,,,
459903,OY-FHC,,DE HAVILLAND DHC-6 Twin Otter,DHC6,Mil,tar1090-db import,,,,
459904,OY-FHD,,DE HAVILLAND DHC-6 Twin Otter,DHC6,Mil,tar1090-db import,,,,
45F428,B-536,,Lockheed Martin C-130J-30 Hercules,C30J,Mil,tar1090-db import,,,,
45F42C,M-502,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F42D,M-516,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F42E,M-504,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F42F,M-517,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F431,M-507,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F432,M-508,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F433,M-519,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F434,M-510,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F435,M-520,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F436,M-512,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F437,M-513,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F438,M-514,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F439,M-515,,AGUSTA WESTLAND EH-101 Merlin,EH10,Mil,tar1090-db import,,,,
45F440,N-971,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
45F441,N-972,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
45F442,N-973,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
45F443,N-974,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
45F444,N-975,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
45F445,N-976,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
45F446,N-977,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
45F447,N-978,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
45F448,N-979,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
467801,FF-3,,FOKKER F-27,F27,Mil,tar1090-db import,,,,
467807,HN-402,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467808,HN-403,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467809,HN-404,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46780A,HN-405,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46780B,HN-406,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46780C,HN-407,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46780D,HN-408,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46780F,HN-410,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467811,HN-412,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467812,HN-414,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467813,HN-415,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467814,HN-416,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467815,HN-417,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467816,HN-418,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467817,HN-419,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467818,HN-420,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467819,HN-421,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46781A,HN-422,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46781B,HN-423,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46781D,HN-425,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46781F,HN-427,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467820,HN-428,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467821,HN-429,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467822,HN-431,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467823,HN-432,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467824,HN-433,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467826,HN-435,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467827,HN-436,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467829,HN-438,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46782A,HN-439,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46782D,HN-442,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46782E,HN-443,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46782F,HN-444,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467830,HN-445,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467831,HN-446,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467832,HN-447,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467833,HN-448,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467834,HN-449,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467835,HN-450,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467836,HN-451,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467837,HN-452,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467838,HN-453,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467839,HN-454,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46783A,HN-455,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46783B,HN-456,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46783C,HN-457,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46783D,HN-461,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46783E,HN-462,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46783F,HN-463,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467840,HN-464,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467841,HN-465,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467842,HN-466,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467843,HN-467,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467844,HN-424,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
467847,HN-411,,BOEING FA-18 HORNET,F18H,Mil,tar1090-db import,,,,
46788E,CC-1,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
467890,PI-01,,PILATUS PC-12,PC12,Mil,tar1090-db import,,,,
467892,PI-03,,PILATUS PC-12,PC12,Mil,tar1090-db import,,,,
467896,CC-3,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
467897,GO-1,,GROB G-115,G115,Mil,tar1090-db import,,,,
467898,GO-2,,GROB G-115,G115,Mil,tar1090-db import,,,,
467899,GO-3,,GROB G-115,G115,Mil,tar1090-db import,,,,
46789A,GO-4,,GROB G-115,G115,Mil,tar1090-db import,,,,
46789B,GO-5,,GROB G-115,G115,Mil,tar1090-db import,,,,
46789C,GO-6,,GROB G-115,G115,Mil,tar1090-db import,,,,
46789D,GO-7,,GROB G-115,G115,Mil,tar1090-db import,,,,
46789E,GO-8,,GROB G-115,G115,Mil,tar1090-db import,,,,
46789F,GO-9,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A0,GO-10,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A1,GO-11,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A2,GO-12,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A3,GO-13,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A4,GO-14,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A5,GO-15,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A6,GO-16,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A7,GO-17,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A8,GO-18,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678A9,GO-19,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678AB,GO-21,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678AC,GO-22,,G115,G115,Mil,tar1090-db import,,,,
4678AD,GO-23,,G115,G115,Mil,tar1090-db import,,,,
4678AF,GO-25,,GROB G-115,G115,Mil,tar1090-db import,,,,
4678B1,GO-27,,GROB G-115,G115,Mil,tar1090-db import,,,,
467C4A,PN74,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
468007,007,,GENERAL DYNAMICS F-16 Fighting Falcon,F16,Mil,tar1090-db import,,,,
46801D,029,,GENERAL DYNAMICS F-16 Fighting Falcon,F16,Mil,tar1090-db import,,,,
468075,4117,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
468078,4120,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
468079,4121,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
46807A,4122,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
46807B,4123,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
46807D,4125,,C27J,C27J,Mil,tar1090-db import,,,,
46812E,300,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
468176,374,,EMBRAER ERJ-145,E145,Mil,tar1090-db import,,,,
468196,406,,BEECHCRAFT Super King Air 350,B350,Mil,tar1090-db import,,,,
4682BD,22701,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
4682C0,22704,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
4682D9,729,,EMBRAER ERJ-145,E145,Mil,tar1090-db import,,,,
4682E5,741,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
4682EB,747,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
4682EF,751,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
4682F5,757,,EMBRAER ERJ-145,E145,Mil,tar1090-db import,,,,
46830C,2780,,AEROSPATIALE AS-332 Super Puma,AS32,Mil,tar1090-db import,,,,
4683B4,948,,C130,C130,Mil,tar1090-db import,,,,
46EC47,PN71,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
46EC48,PN72,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
46EC49,PN73,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
46EC4B,PN75,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
46EC4C,PN76,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
46EC4D,PN77,,SIKORSKY UH-60 Black Hawk,H60,Mil,tar1090-db import,,,,
46F592,402,,BEECH 200 Super King Air,BE20,Mil,tar1090-db import,,,,
46F593,403,,B350,B350,Mil,tar1090-db import,,,,
473C02,31,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C03,32,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C05,34,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C06,35,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C07,36,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C08,37,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C09,38,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C0A,39,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C0B,40,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C0C,41,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
473C0E,43,,SAAB 39 Gripen,SB39,Mil,tar1090-db import,,,,
477F60,148,,L39,L39,Mil,tar1090-db import,,,,
477F69,141,,L39,L39,Mil,tar1090-db import,,,,
477F6A,142,,L39,L39,Mil,tar1090-db import,,,,
477F6B,143,,L39,L39,Mil,tar1090-db import,,,,
477F6C,144,,L39,L39,Mil,tar1090-db import,,,,
477F6D,145,,L39,L39,Mil,tar1090-db import,,,,
477F6E,146,,L39,L39,Mil,tar1090-db import,,,,
477F6F,147,,L39,L39,Mil,tar1090-db import,,,,
477F70,148,,L39,L39,Mil,tar1090-db import,,,,
477F79,73,,EC25,EC25,Mil,tar1090-db import,,,,
477F7B,74,,AIRBUS HELICOPTERS EC-225/725,EC25,Mil,tar1090-db import,,,,
